"id","Type","Date","Distance","Moving Time","Name","Avg HR","Norm Power","Intensity","Load","FTP","Activity eFTP","Start Time","Avg Power","eFTP","GAP","Resting HR","RPE"
"i155680825","Run","2026-06-09T06:43:26",9790.5595703125,3021,"Cambridge Running",156,,70.07627868652344,42,,,1970-01-01T06:43:26.000-05:00,,,3.256413698196411,51,3
"i155539112","WeightTraining","2026-06-08T18:14:30",,1298,"Strength",126,,52.8680534362793,10,,,1970-01-01T18:14:30.000-05:00,,,,53,
"i155152525","GravelRide","2026-06-07T13:45:47",44949.44140625,5394,"Cambridge Gravel/Unpaved Cycling",155,212,81.85327911376953,100,259,220,1970-01-01T13:45:47.000-05:00,190,258,,52,3
"i154900359","Ride","2026-06-06T13:54:45",46725.30859375,5835,"Cambridge Road Cycling",153,203,78.37837982177734,100,259,187,1970-01-01T13:54:45.000-05:00,184,258,,48,3
"i154678612","WeightTraining","2026-06-05T18:05:16",,2021,"Strength",135,,58.2049446105957,19,,,1970-01-01T18:05:16.000-05:00,,,,48,
"i154550947","Run","2026-06-05T06:57:39",16637.609375,4885,"Cambridge Running",167,,79.86750793457031,87,,,1970-01-01T06:57:39.000-05:00,,,3.4345829486846924,48,4
"i154258481","Run","2026-06-04T07:22:38",9817.7197265625,2854,"Cambridge Running",165,,78.9200439453125,50,,,1970-01-01T07:22:38.000-05:00,,,3.4632365703582764,50,4
"i153916995","Ride","2026-06-03T07:01:51",28826.119140625,3331,"Cambridge Road Cycling",164,218,84.16988372802734,66,259,195,1970-01-01T07:01:51.000-05:00,198,259,,50,5
"i153463382","Run","2026-06-02T07:03:27",12953.76953125,3921,"Cambridge Running",163,,76.60658264160156,64,,,1970-01-01T07:03:27.000-05:00,,,3.326425075531006,51,3
"i153298008","WeightTraining","2026-06-01T18:13:06",,2547,"Strength",126,,51.83210372924805,19,,,1970-01-01T18:13:06.000-05:00,,,,54,
"i153012152","Ride","2026-05-31T12:39:47",57993.828125,6594,"Cambridge Road Cycling",164,238,91.89189147949219,155,259,225,1970-01-01T12:39:47.000-05:00,224,259,,53,7
"i152786274","VirtualRide","2026-05-30T13:55:10",37486.55859375,4591,"Zwift - Maggie Erwin's Meetup on Danger Noodle in Watopia",160,199,76.83397674560547,75,259,196,1970-01-01T13:55:10.000-05:00,179,259,,52,
"i152496630","GravelRide","2026-05-29T06:40:24",32536.359375,3946,"Cambridge Gravel/Unpaved Cycling",160,226,87.2586898803711,83,259,220,1970-01-01T06:40:24.000-05:00,196,260,,48,3
"i152245237","WeightTraining","2026-05-28T07:28:04",,2606,"Strength",136,,59.965415954589844,26,,,1970-01-01T07:28:04.000-05:00,,,,49,
"i152232709","Run","2026-05-28T06:33:29",9808.2900390625,2876,"Cambridge Running",160,,74.51004791259766,45,,,1970-01-01T06:33:29.000-05:00,,,3.4316670894622803,49,3
"i151902612","Run","2026-05-27T06:52:36",9797.419921875,2966,"Cambridge Running",162,,76.30060577392578,49,,,1970-01-01T06:52:36.000-05:00,,,3.3166098594665527,50,3
"i151464747","GravelRide","2026-05-25T15:31:20",44107.37109375,5093,"Cambridge Gravel Cycling",159,216,83.3976821899414,98,259,215,1970-01-01T15:31:20.000-05:00,198,260,,52,4
"i151136498","Run","2026-05-24T10:31:13",12988.7802734375,4120,"Cambridge Running",149,,64.45808410644531,48,,,1970-01-01T10:31:13.000-05:00,,,3.1690027713775635,58,2
